Organism	BioProject	Annotation
Acrocephalus arundinaceus	PRJNA578893	0
Aix galericulata	PRJNA787744	1
Alectoris rufa	PRJNA824288	0
Anas platyrhynchos	PRJNA450892	1
Anas platyrhynchos	PRJNA471401	1
Anas platyrhynchos	PRJNA599025	1
Anas platyrhynchos	PRJNA636121	1
Anas platyrhynchos	PRJNA668048	1
Anas platyrhynchos	PRJNA844232	1
Anas platyrhynchos	PRJNA878639	1
Anas platyrhynchos	PRJNA886058	1
Anas platyrhynchos	PRJNA888455	1
Anas platyrhynchos	PRJNA890937	1
Anas platyrhynchos	PRJNA896757	1
Anas platyrhynchos	PRJNA907501	1
Anas platyrhynchos	PRJNA921894	1
Anser cygnoides	PRJNA575503	1
Anser cygnoides	PRJNA678815	1
Anser cygnoides	PRJNA722049	1
Athene cunicularia	PRJNA431202	1
Brachypodius atriceps	PRJNA736057	1
Calidris pugnax	NA	1
Calidris pygmaea	PRJNA419629	0
Calypte anna	PRJNA946673	1
Camarhynchus parvulus	PRJNA743741	1
Catharus bicknelli	PRJNA761298	0
Catharus minimus	PRJNA761298	0
Centrocercus urophasianus	PRJNA531321	1
Certhia americana	PRJNA605140	0
Chloebia gouldiae	PRJNA515277	1
Colaptes auratus	PRJNA996225	0
Columba livia	PRJNA167554	1
Columba livia	PRJNA513877	1
Columba livia	PRJNA532675	1
Columba livia	PRJNA680754	1
Columba livia	PRJNA682513	1
Corvus cornix cornix	PRJNA192205	1
Coturnix japonica	PRJNA339911	1
Cyanistes caeruleus	PRJNA759394	1
Cyanoderma ruficeps	PRJNA900380	0
Dryobates pubescens	PRJNA917637	1
Emberiza elegans	PRJNA751503	0
Empidonax alnorum	PRJNA692615	0
Empidonax traillii	PRJNA692615	1
Empidonax traillii	PRJNA957938	1
Eopsaltria australis	PRJNA476023	0
Falco deiroleucus	PRJNA866102	0
Falco peregrinus	PRJNA686418	1
Ficedula albicollis	PRJEB11502	1
Ficedula albicollis	PRJEB12616	1
Ficedula albicollis	PRJEB22864	1
Ficedula albicollis	PRJEB7359	1
Geospiza fortis	PRJNA743741	1
Hirundo rustica	PRJNA323498	1
Lophura nycthemera	PRJNA970229	0
Lophura swinhoii	PRJNA970229	0
Malurus alboscapulatus	PRJNA637195	0
Melozone crissalis	PRJNA915193	1
Montifringilla adamsi	PRJNA417520	0
Nipponia nippon	PRJNA481495	1
Nipponia nippon	PRJNA508426	1
Numida meleagris	PRJNA639777	1
Onychostruthus taczanowskii	PRJNA417520	1
Parus major	PRJNA274877	1
Parus major	PRJNA304164	1
Passer domesticus	PRJEB27649	0
Passer domesticus	PRJNA255814	0
Passer montanus	PRJNA634228	1
Pavo muticus	PRJNA644939	0
Petroica traversi	PRJEB46470	0
Phylloscopus whistleri	PRJNA646997	0
Pogoniulus pusillus	PRJNA987636	0
Pseudopodoces humilis	PRJNA293020	1
Pseudopodoces humilis	PRJNA998938	1
Pygoscelis adeliae	PRJNA210803	1
Pygoscelis adeliae	PRJNA544154	1
Pyrgilauda ruficollis	PRJNA417520	1
Sporophila hypoxantha	PRJNA382416	0
Sturnus vulgaris	PRJNA935977	1
Sylvia atricapilla	PRJNA616371	0
Taeniopygia guttata	PRJNA741250	1
Zonotrichia albicollis	PRJNA643514	1
Zosterops borbonicus	PRJNA661201	1
