Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_016699485.1	bGalGal1.mat.broiler.GRCg7b	Gallus gallus	Cross of Broiler mother + white leghorn layer father				bGalGal1	female		1053315467	Chromosome	2021-01-19	JAENSK01
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus	Cross of Broiler mother + white leghorn layer father				bGalGal1	female	NCBI Annotation Release 106	1053315467	Chromosome	2021-01-19	JAENSK01
GCA_015476345.1	ZJU1.0	Anas platyrhynchos	Pekin duck				Z2	pooled male and female		1188516685	Chromosome	2020-11-23	JACGAL01
GCF_015476345.1	ZJU1.0	Anas platyrhynchos	Pekin duck				Z2	pooled male and female	NCBI Annotation Release 104	1188516685	Chromosome	2020-11-23	JACGAL01
GCA_003957565.4	bTaeGut1.4.pri	Taeniopygia guttata					Black17	male		1056254409	Chromosome	2021-05-04	RRCB02
GCF_003957565.2	bTaeGut1.4.pri	Taeniopygia guttata					Blue55	female	NCBI Annotation Release 106	1056254409	Chromosome	2021-05-04	RRCB02
GCA_001577835.2	Coturnix japonica 2.1	Coturnix japonica					7356	male		927640260	Chromosome	2016-03-01	LSZS01
GCF_001577835.2	Coturnix japonica 2.1	Coturnix japonica					7356	male	NCBI Annotation Release 101	927640260	Chromosome	2016-03-01	LSZS01
GCA_000146605.4	Turkey_5.1	Meleagris gallopavo	Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female		1115457962	Chromosome	2019-10-21	ADDD02
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female	NCBI Annotation Release 103	1115457962	Chromosome	2019-10-21	ADDD02
GCA_018104995.1	ASM1810499v1	Cairina moschata					CM-2020	male		1118556028	Chromosome	2021-04-23	JADZGK01
GCA_022539315.2	serCan2020	Serinus canaria					serCan28SL12	female		1050336073	Chromosome	2022-08-25	JAKSEN01
GCF_022539315.1	serCan2020	Serinus canaria					serCan28SL12	female	GCF_022539315.1-RS_2023_02	1050336073	Chromosome	2022-08-25	JAKSEN01
GCF_900496995.4	bAquChr1.4	Aquila chrysaetos chrysaetos							NCBI Annotation Release 101	1233704830	Chromosome	2021-03-26	UFQG04
GCA_001522545.3	Parus_major1.1	Parus major					Abel	male		1020293992	Chromosome	2019-01-15	JRXK01
GCF_001522545.3	Parus_major1.1	Parus major					Abel	male	NCBI Annotation Release 102	1020293992	Chromosome	2019-01-15	JRXK01
GCA_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female		1240248578	Chromosome	2022-09-01	JAGKTE02
GCF_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female	GCF_018139145.2-RS_2023_02	1240248578	Chromosome	2022-09-01	JAGKTE02
